,first_name,last_name,party
0,Andrzej,Adamczyk,PiS
1,Rafał,Adamczyk,Lewica
2,Piotr,Adamowicz,KO
3,Romuald,Ajchler,Lewica
4,Zbigniew,Ajchler,niez.
5,Adam,Andruszkiewicz,PiS
6,Waldemar,Andzel,PiS
7,Tomasz,Aniśko,KO
8,Jan Krzysztof,Ardanowski,PiS
9,Iwona,Arent,PiS
10,Marek,Ast,PiS
11,Urszula,Augustyn,KO
12,Tadeusz,Aziewicz,KO
13,Zbigniew,Babalski,PiS
14,Piotr,Babinetz,PiS
15,Ryszard,Bartosik,PiS
16,Władysław Teofil,Bartoszewski,KP
17,Barbara,Bartuś,PiS
18,Mieczysław,Baszko,PiS
19,Dariusz,Bąk,PiS
20,Paweł,Bejda,KP
21,Konrad,Berkowicz,Konfederacja
22,Magdalena,Biejat,Lewica
23,Jerzy,Bielecki,PiS
24,Marek,Biernacki,KP
25,Mariusz,Błaszczak,PiS
26,Mateusz,Bochenek,KO
27,Rafał,Bochenek,PiS
28,Jerzy,Borowczak,KO
29,Joanna,Borowiak,PiS
30,Kamil,Bortniczuk,PiS
31,Piotr,Borys,KO
32,Bożena,Borys-Szopa,PiS
33,Krzysztof,Bosak,Konfederacja
34,Grzegorz,Braun,Konfederacja
35,Waldemar,Buda,PiS
36,Borys,Budka,KO
37,Stanisław,Bukowiec,Porozumienie
38,Lidia,Burzyńska,PiS
39,Wiesław,Buż,Lewica
40,Małgorzata,Chmiel,KO
41,Zbigniew,Chmielowiec,PiS
42,Kazimierz,Choma,PiS
43,Dominika,Chorosińska,PiS
44,Tadeusz,Chrzan,PiS
45,Anna Ewa,Cicholska,PiS
46,Janusz,Cichoń,KO
47,Michał,Cieślak,PiS
48,Tadeusz,Cymański,PiS
49,Adam,Cyrański,KO
50,Krzysztof,Czarnecki,PiS
51,Przemysław,Czarnecki,PiS
52,Witold,Czarnecki,PiS
53,Przemysław,Czarnek,PiS
54,Arkadiusz,Czartoryski,PiS
55,Włodzimierz,Czarzasty,Lewica
56,Jacek,Czerniak,Lewica
57,Zofia,Czernow,KO
58,Anita,Czerwińska,PiS
59,Katarzyna,Czochara,PiS
60,Eugeniusz,Czykwin,KO
61,Anna,Dąbrowska-Banaszek,PiS
62,Leszek,Dobrzyński,PiS
63,Zbigniew,Dolata,PiS
64,Barbara,Dolniak,KO
65,Bartłomiej,Dorywalski,PiS
66,Przemysław,Drabek,PiS
67,Elżbieta,Duda,PiS
68,Jan,Duda,PiS
69,Marcin,Duszek,PiS
70,Michał,Dworczyk,PiS
71,Marek,Dyduch,Lewica
72,Artur,Dziambor,Konfederacja
73,Jan,Dziedziczak,PiS
74,Agnieszka,Dziemianowicz-Bąk,Lewica
75,Waldy,Dzikowski,KO
76,Barbara,Dziuk,PiS
77,Jadwiga,Emilewicz,PiS
78,Joanna,Fabisiak,KO
